LAMMPS (23 Jun 2022 - Update 4)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Lattice spacing in x,y,z = 4.04525 4.04525 4.04525
Created orthogonal box = (0 0 0) to (8.0905 8.0905 8.0905)
  1 by 1 by 2 MPI processor grid
Created 32 atoms
  using lattice units in orthogonal box = (0 0 0) to (8.0905 8.0905 8.0905)
  create_atoms CPU = 0.000 seconds
Reading eam/alloy potential file ./Al_mm.eam.fs with DATE: 2007-06-11
Temp                     Press                     Vol                     Etotal
Neighbor list info ...
  update every 1 steps, delay 10 steps, check yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8.5
  ghost atom cutoff = 8.5
  binsize = 4.25, bins = 2 2 2
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair eam/alloy, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.001
Per MPI rank memory allocation (min/avg/max) = 3.596 | 3.596 | 3.596 Mbytes
   Step          Time           Temp          PotEng         KinEng         TotEng        c_mytemp      c_mypress        Volume    
     56000   56             746.30356     -106.03062      2.9904865     -103.04013      746.30356     -5074.1277      557.28524    
     57000   57             690.27799     -105.97245      2.7659884     -103.20647      690.27799      3383.2831      552.72095    
     58000   58             694.33937     -105.99383      2.7822627     -103.21157      694.33937      491.00287      555.30053    
     59000   59             745.76164     -106.22629      2.988315      -103.23797      745.76164     -1591.6407      555.16893    
     60000   60             733.95222     -106.14611      2.9409939     -103.20511      733.95222     -6978.9248      558.70615    
     61000   61             687.23734     -105.92332      2.7538043     -103.16951      687.23734      1211.76        555.33472    
     62000   62             687.62993     -105.83748      2.7553775     -103.08211      687.62993      5753.9792      551.91593    
     63000   63             650.00187     -105.70409      2.6045994     -103.09949      650.00187      1021.8627      555.38063    
     64000   64             738.61833     -106.18152      2.9596913     -103.22183      738.61833     -1471.765       555.1074     
     65000   65             693.19362     -106.00198      2.7776716     -103.22431      693.19362      258.79975      554.81678    
     66000   66             700.1325      -105.98639      2.8054761     -103.18091      700.1325      -2076.9923      555.95262    
     67000   67             891.77225     -106.73941      3.5733889     -103.16602      891.77225     -12340.594      558.57462    
     68000   68             718.38377     -106.03665      2.8786101     -103.15804      718.38377     -1380.6932      557.2298     
     69000   69             615.93377     -105.69131      2.4680863     -103.22322      615.93377      6839.722       552.29077    
     70000   70             676.5155      -105.95099      2.7108412     -103.24015      676.5155      -860.9151       555.70999    
     71000   71             541.69507     -105.36676      2.1706071     -103.19615      541.69507      3764.4951      555.78324    
     72000   72             627.6269      -105.67353      2.5149415     -103.15858      627.6269       6562.1178      554.47208    
     73000   73             755.62659     -106.27312      3.0278445     -103.24527      755.62659     -1087.8042      553.034      
     74000   74             701.36176     -106.02282      2.8104018     -103.21242      701.36176     -3606.7028      558.1703     
     75000   75             794.08327     -106.31575      3.1819429     -103.13381      794.08327     -8451.9982      559.16779    
     76000   76             679.21644     -105.89124      2.7216641     -103.16958      679.21644      7357.6444      550.46445    
     77000   77             637.82705     -105.7582       2.5558141     -103.20238      637.82705     -925.78261      555.26776    
     78000   78             745.02413     -106.15594      2.9853597     -103.17058      745.02413     -3288.8691      556.47374    
     79000   79             692.43279     -106.01302      2.7746229     -103.2384       692.43279      5828.7551      550.36802    
     80000   80             499.88576     -105.20548      2.0030745     -103.2024       499.88576      9139.3799      552.3255     
     81000   81             744.92545     -106.27823      2.9849643     -103.29327      744.92545      1639.0515      553.20928    
     82000   82             729.0573      -106.17022      2.9213796     -103.24884      729.0573       5107.2891      550.22507    
     83000   83             689.76921     -106.07116      2.7639497     -103.30721      689.76921     -1004.695       553.61621    
     84000   84             703.13039     -105.96443      2.8174888     -103.14694      703.13039     -8959.6002      560.5293     
     85000   85             708.54091     -106.14831      2.8391691     -103.30915      708.54091     -2614.3869      555.85933    
     86000   86             709.22742     -106.13962      2.84192       -103.2977       709.22742     -339.52428      555.70821    
     87000   87             708.41711     -106.07667      2.838673      -103.238        708.41711     -1821.9635      555.25492    
     88000   88             733.36436     -106.11391      2.9386383     -103.17527      733.36436     -5757.9512      559.68403    
     89000   89             633.27166     -105.72724      2.5375604     -103.18968      633.27166     -2460.1576      557.60038    
     90000   90             724.1561      -106.03136      2.9017402     -103.12962      724.1561       1189.8765      553.8585     
     91000   91             556.7415      -105.4451       2.2308991     -103.2142       556.7415       7227.996       552.59141    
     92000   92             670.9611      -105.95211      2.6885844     -103.26353      670.9611       1037.6247      554.86386    
     93000   93             681.94306     -105.96416      2.7325898     -103.23157      681.94306     -1868.7849      556.42141    
     94000   94             721.36394     -106.09999      2.8905518     -103.20943      721.36394     -2812.8388      555.26159    
     95000   95             669.03601     -105.78124      2.6808704     -103.10037      669.03601      4212.6372      553.55178    
     96000   96             542.78202     -105.44341      2.1749625     -103.26845      542.78202      6489.5215      553.17995    
     97000   97             586.13612     -105.53447      2.3486852     -103.18579      586.13612      5234.1269      553.46713    
     98000   98             599.45542     -105.63009      2.4020565     -103.22804      599.45542      1065.1335      555.43686    
     99000   99             655.77998     -105.82322      2.6277527     -103.19547      655.77998      123.797        556.39896    
    100000   100            754.27261     -106.16         3.022419      -103.13758      754.27261     -6030.9474      557.03779    
    101000   101            813.80391     -106.43973      3.2609648     -103.17877      813.80391     -280.11682      553.18912    
    102000   102            575.23551     -105.50169      2.3050058     -103.19668      575.23551      640.73386      556.93619    
    103000   103            734.24063     -106.10247      2.9421495     -103.16032      734.24063     -3482.1542      556.1383     
    104000   104            734.45837     -106.11181      2.9430221     -103.16878      734.45837      385.01354      553.73366    
    105000   105            834.79407     -106.40107      3.3450737     -103.05599      834.79407      498.35952      551.1807     
    106000   106            805.75577     -106.23036      3.2287153     -103.00164      805.75577      2498.095       552.19468    
    107000   107            652.68154     -105.81456      2.615337      -103.19922      652.68154      4578.7602      554.29456    
    108000   108            588.16395     -105.52368      2.3568109     -103.16687      588.16395      6020.0912      554.61281    
    109000   109            672.97805     -105.8481       2.6966664     -103.15143      672.97805      743.61021      556.00871    
    110000   110            705.1183      -105.98846      2.8254545     -103.163        705.1183       286.16877      554.62159    
    111000   111            798.02924     -106.3657       3.1977546     -103.16794      798.02924     -533.83204      553.65086    
    112000   112            719.789       -106.02847      2.884241      -103.14422      719.789       -1630.163       555.13863    
    113000   113            697.93793     -106.02629      2.7966823     -103.22961      697.93793      254.151        554.80673    
    114000   114            604.18088     -105.6201       2.4209917     -103.1991       604.18088      4855.254       554.23642    
    115000   115            906.21445     -106.84201      3.6312597     -103.21075      906.21445     -11417.121      557.13615    
    116000   116            666.98161     -105.90588      2.6726383     -103.23324      666.98161      3951.4445      553.15106    
    117000   117            663.88503     -105.89298      2.6602301     -103.23275      663.88503      3508.0673      552.67896    
    118000   118            615.56457     -105.75504      2.4666069     -103.28844      615.56457      502.29864      554.5565     
    119000   119            773.96357     -106.22794      3.1013219     -103.12662      773.96357     -5407.9272      556.649      
    120000   120            734.73115     -106.2112       2.9441151     -103.26709      734.73115     -642.39238      552.42003    
    121000   121            670.5728      -105.87696      2.6870284     -103.18994      670.5728       318.93601      555.31993    
    122000   122            645.21465     -105.81388      2.5854167     -103.22846      645.21465      3568.7809      553.86539    
    123000   123            657.98381     -105.78789      2.6365836     -103.15131      657.98381      3004.5862      553.89746    
