# Time-averaged data for fix 4
# TimeStep c_mytemp c_mypress v_vmyvol v_avgEtotal
10 1679.24 -5399.06 689.799 -2.75515
20 1657.44 -6171.84 691.295 -2.75422
30 1648.65 -5245.34 692.671 -2.7532
40 1654.95 -5280.8 693.938 -2.75211
50 1807.42 -9393.47 695.092 -2.75092
60 1945.19 -11530.9 696.071 -2.74986
70 1999.36 -9085.23 696.841 -2.74942
80 1967.23 -6909.93 697.442 -2.74974
90 1805.87 -2143.54 697.919 -2.75052
100 1676.63 2980.7 698.359 -2.7513
110 1760.2 44.6655 698.838 -2.7519
120 1839.51 -1113.88 699.321 -2.75242
130 1866.14 -1657.67 699.785 -2.7531
140 1788.97 -2554.63 700.216 -2.75395
150 1554.42 1775.02 700.61 -2.75465
160 1454.94 3148.52 701.032 -2.75487
170 1536.58 -786.229 701.502 -2.7545
180 1635.49 -4160.14 701.957 -2.75367
190 1758.27 -5417.91 702.338 -2.75265
200 1857.27 -3783 702.626 -2.75173
210 1929.97 -2207.42 702.845 -2.75115
220 2116.12 -4117.32 703.02 -2.75121
230 2038.17 -339.962 703.134 -2.75215
240 1792.37 6384.23 703.252 -2.75357
250 1676.45 7219.38 703.483 -2.75487
260 1644.74 5616.46 703.847 -2.75581
270 1665.1 4788.93 704.316 -2.75641
280 1674.44 2460.34 704.87 -2.75676
290 1599.15 442.656 705.47 -2.75682
300 1605.16 -3354.21 706.071 -2.75657
310 1722.37 -8620.97 706.605 -2.75599
320 1887.29 -14687.5 706.975 -2.75539
330 1914.91 -15569.5 707.082 -2.75518
340 1870.53 -16923.4 706.901 -2.75548
350 1797.23 -20214.6 706.411 -2.75613
360 1797.15 -21623.2 705.562 -2.75702
370 1824.14 -21162.6 704.334 -2.75812
380 1862.37 -19704.4 702.742 -2.75946
390 1898.38 -16310.8 700.826 -2.76103
400 1881.66 -12628.2 698.651 -2.76281
410 1776.67 -6628.41 696.296 -2.76449
420 1715.61 -348.994 693.871 -2.76575
430 1719.03 4575.59 691.487 -2.76651
