# Time-averaged data for fix 4
# TimeStep c_mytemp c_mypress v_vmyvol v_avgEtotal
10 1633.68 -8609 640.945 -2.85255
20 1661.71 -10881.3 641.507 -2.8521
30 1766.64 -13035.7 641.882 -2.85196
40 1791.71 -12295.2 642.038 -2.85235
50 1633.07 -5655.97 641.998 -2.8532
60 1488.3 -1158.51 641.864 -2.85399
70 1479.8 -1701.88 641.711 -2.8545
80 1497.18 -2946.79 641.535 -2.85473
90 1569.98 -4911.38 641.315 -2.85478
100 1675.7 -7120.3 641.02 -2.85486
110 1704.19 -8618.02 640.615 -2.85519
120 1633.13 -9472.68 640.076 -2.8558
130 1574.36 -10681 639.39 -2.8565
140 1608.22 -11779.2 638.538 -2.85719
150 1743.88 -11853.8 637.509 -2.85801
160 1854.42 -9876.43 636.306 -2.85925
170 1833.86 -6856.06 634.963 -2.86109
180 1653.38 682.542 633.542 -2.86311
190 1445.77 6212.67 632.159 -2.86463
200 1366.49 6295.52 630.898 -2.86552
210 1409.31 6729.75 629.767 -2.86586
220 1518.75 6641.58 628.77 -2.86583
230 1608.74 4417.31 627.899 -2.8657
240 1609.71 3447.04 627.123 -2.86567
250 1544.31 2413.78 626.419 -2.86572
260 1448.22 3384.88 625.776 -2.86569
270 1360.46 4446.49 625.201 -2.86536
280 1446.44 858.386 624.704 -2.86473
290 1402.38 2692.69 624.243 -2.86383
300 1325.8 6061.32 623.838 -2.86272
310 1430.48 4823.15 623.536 -2.8613
320 1615.16 2152.58 623.319 -2.85964
330 1812.26 -1744.54 623.143 -2.85817
340 1914.68 -4676.38 622.95 -2.85742
350 1841.86 -4365.19 622.695 -2.85768
360 1632.33 -2700.78 622.381 -2.85851
370 1435.88 1192.09 622.038 -2.85928
380 1339.36 4229.25 621.723 -2.85958
390 1382.73 5137.8 621.482 -2.85939
400 1494.37 6621.57 621.334 -2.85883
410 1581.46 5922.36 621.294 -2.85812
420 1644.97 7244.68 621.359 -2.85751
430 1738.59 6270.86 621.541 -2.85717
440 1774.67 4330.1 621.826 -2.85727
450 1783.42 2861.15 622.184 -2.85787
460 1773.55 911.573 622.587 -2.85893
