Temp                     Press                     Vol                     Etotal
898.441512737183 799990.716608017 396.382100130066 -2.75591080282828
922.718137050595 800134.174295025 396.495567079563 -2.75184975029901
948.162501300024 800013.949214065 396.681942433441 -2.7481896491852
973.53027482907 799820.559867796 396.586250991687 -2.74131216546408
997.282626939755 799867.802312637 396.689612550544 -2.73673796332262
1022.90728286794 800043.775211479 396.730605980457 -2.73222833965211
1047.62709964936 799939.475823568 396.892388184683 -2.72784030871659
1072.63169652337 800125.571011027 396.928389697478 -2.72317926780101
1098.52819079819 799792.602761266 396.775896199065 -2.71601417116876
1123.30655097496 799877.156534393 396.977076106727 -2.7129059422202
1147.28159442234 799949.727025159 396.989599048708 -2.70674595061954
1173.38503781749 799898.507346682 397.149413698777 -2.70303727088856
1197.15350766902 799827.243819088 397.263649404529 -2.69878788753311
1224.06039097705 799708.249043015 397.159641020826 -2.69242280851122
1248.86340250644 799728.963348542 397.267536625484 -2.68811971471484
1273.56135448543 799677.157374588 397.347504223469 -2.68300637874676
1297.68296605678 799764.607397998 397.391747557667 -2.67862562748042
1323.84817887454 799812.00224625 397.500014600811 -2.67362315714399
1348.61130634204 799838.2774967 397.45944763562 -2.66799785208592
1373.74532549705 799659.268995899 397.484629503328 -2.6631314809393
1399.0418525646 799872.420388254 397.591277385792 -2.65916598454573
1994.93927842831 -192.104149199499 678.613741130032 -2.71190899356501
1969.38526782033 -459.827797485912 685.91987532552 -2.70883878740877
1946.61846041576 -156.508236417899 676.210910710728 -2.72477296847681
1920.05983988538 -418.029161317465 672.033134569118 -2.73836732033838
1893.03711221529 -153.496755745203 679.225806877716 -2.73176553778099
1869.26150873742 -367.837352564054 667.036714437578 -2.74653805842374
1841.75372577856 -322.799940332841 664.153734466131 -2.75847188613087
1817.4201186069 -307.385374431181 670.506136702965 -2.7589405009367
1795.59743713986 -234.777747253023 666.387143272341 -2.76411615617358
1774.00016502231 -419.465500635965 658.726716826389 -2.77855028210931
1743.37380952611 -235.11087606952 661.793893914623 -2.77855346651605
1718.72301244077 -303.701784601846 659.452754364304 -2.78616699854569
1694.17556965177 -306.909489625261 651.29162834641 -2.80172665635408
1670.35117236826 -189.640564961541 650.125973956498 -2.80994880636055
1643.9499459019 -240.219097829114 652.276944229674 -2.80764647105709
1618.74938449194 -326.430078139073 646.829095444707 -2.82362379616222
1596.53388926627 -402.673938215569 648.67571706335 -2.82340458434842
1568.27630952157 -309.918504957716 644.044342625289 -2.83525376074481
1547.06730868312 -234.160582965881 641.538294535848 -2.84468548898522
1518.19060789125 -201.803115396824 639.527897022843 -2.85063187746198
1491.76580678245 -371.425616180018 640.945609575166 -2.84974817815921
