0.2 70.994275
0.2 70.994275
0.2 106.071228
0.2 508.325615
0.2 508.325615
0.2 516.717689
0.4 116.143639
0.4 116.143639
0.4 201.605769
0.4 488.527816
0.4 488.527816
0.4 506.465344
0.5 127.047648
0.5 127.047648
0.5 243.565748
0.5 480.045854
0.5 480.045854
0.5 497.555232
0.6 138.044963
0.6 138.044963
0.6 286.491329
0.6 475.219013
0.6 475.219013
0.6 487.879301
0.8 143.985670
0.8 143.985670
0.8 357.504263
0.8 458.066891
0.8 469.139698
0.8 469.139698
3.7606 87.906804
3.7606 87.906804
3.7606 193.411319
3.7606 500.857046
3.7606 505.322304
3.7606 505.322304
4.1070 109.972077
4.1070 109.972077
4.1070 339.065140
4.1070 446.979548
4.1070 496.847050
4.1070 496.847050
4.2802 108.688306
4.2802 108.688306
4.2802 377.242886
4.2802 418.654197
4.2802 495.098504
4.2802 495.098504
