# Time-averaged data for fix 2
# TimeStep c_mytemp c_mypress v_vmyvol v_avgEtotal
10 682.545 1.08886e+06 393.651 -2.71781
20 836.086 957435 394.548 -2.73525
30 945.486 884396 395.024 -2.74331
40 877.379 967397 394.38 -2.73102
50 902.972 1.08983e+06 393.435 -2.7116
60 1020.16 1.0805e+06 393.361 -2.70951
70 1040.26 984060 394.089 -2.72383
80 968.79 935804 394.681 -2.73498
90 970.941 939857 394.607 -2.73383
100 922.978 1.00641e+06 393.935 -2.72139
110 702.908 1.12392e+06 393.419 -2.71103
120 761.32 1.03134e+06 394.047 -2.72395
130 959.278 894789 394.969 -2.7407
140 874.958 932384 394.892 -2.73868
150 796.471 1.05001e+06 394.169 -2.72412
160 952.185 1.02745e+06 393.848 -2.71685
170 975.699 1.02669e+06 393.875 -2.71676
180 862.238 1.02682e+06 394.207 -2.72303
190 889.413 942654 394.725 -2.73257
200 937.679 953380 394.72 -2.73197
210 992.909 997716 394.224 -2.72214
220 960.758 1.04956e+06 393.734 -2.71213
230 865.043 1.04173e+06 393.73 -2.71192
240 786.513 1.02783e+06 394.2 -2.72124
250 834.12 931001 394.867 -2.73366
260 836.801 933520 394.874 -2.73317
270 899.25 1.01622e+06 394.236 -2.72023
280 1076.11 1.03238e+06 393.709 -2.70901
290 1036.36 1.05926e+06 393.584 -2.70613
300 968.513 1.01567e+06 394.031 -2.71516
310 985.305 946422 394.619 -2.72662
320 880.03 953086 394.692 -2.72814
330 830.742 999893 394.287 -2.72046
340 1005.32 1.01489e+06 393.862 -2.71202
350 1058.23 1.03393e+06 393.611 -2.70715
360 929.862 1.05119e+06 393.751 -2.7104
370 858.565 969699 394.339 -2.72233
380 752.743 961072 394.673 -2.72864
390 803.799 967182 394.586 -2.72675
400 1028.82 974499 394.135 -2.71786
410 1078.44 1.05881e+06 393.507 -2.7052
420 984.415 1.08119e+06 393.467 -2.70458
430 914.5 998922 394.224 -2.72024
440 946.349 901101 394.935 -2.73374
450 877.219 958154 394.713 -2.72978
460 935.355 1.01973e+06 394.027 -2.7166
470 944.366 1.06876e+06 393.574 -2.70757
480 925.613 1.05137e+06 393.823 -2.71284
490 984.839 940517 394.526 -2.7267
500 924.194 938996 394.694 -2.72995
510 856.18 1.00733e+06 394.244 -2.72157
520 872.729 1.04025e+06 393.861 -2.7139
530 936.343 1.02798e+06 393.875 -2.71411
540 870.293 1.02183e+06 394.223 -2.721
550 908.846 942700 394.72 -2.73045
560 851.688 945700 394.668 -2.72927
570 783.854 1.03273e+06 394.103 -2.71804
580 926.032 1.04932e+06 393.848 -2.71231
590 1092.46 981275 394.043 -2.7156
600 1037.03 993585 394.134 -2.7172
610 954.287 1.00179e+06 394.135 -2.71741
620 922.941 1.00459e+06 394.168 -2.71828
630 942.045 972779 394.202 -2.71919
640 811.471 1.02844e+06 394.043 -2.71623
650 844.515 1.01497e+06 394.132 -2.71796
660 1001.15 949432 394.318 -2.72137
670 893.352 1.01177e+06 394.096 -2.71701
