# Time-averaged data for fix 2
# TimeStep c_mytemp c_mypress v_vmyvol v_avgEtotal
10 1129.37 1.01902e+06 395.309 -2.64252
20 1302.49 964807 395.403 -2.64395
30 1249.15 1.03281e+06 395.371 -2.64262
40 1525.56 916851 395.412 -2.64281
50 1353.86 1.0708e+06 395.058 -2.63552
60 1414.42 1.01997e+06 395.081 -2.63564
70 1512.39 975877 395.265 -2.63896
80 1363.43 1.02546e+06 395.341 -2.64057
90 1358.83 972989 395.526 -2.64425
100 1399.8 1.00858e+06 395.589 -2.64552
110 1494.07 935710 395.612 -2.64624
120 1101.78 1.06486e+06 395.349 -2.64124
130 1330.53 965000 395.353 -2.64113
140 1463.31 992189 395.243 -2.6386
150 1428.41 1.00497e+06 395.039 -2.63448
160 1282.84 1.04562e+06 394.907 -2.63188
170 1318.7 1.02648e+06 395.099 -2.63559
180 1467.98 940710 395.402 -2.64116
190 1217.69 1.01227e+06 395.411 -2.64109
200 1298.21 951254 395.394 -2.64048
210 1446.66 996939 395.103 -2.63447
220 1477.55 1.03341e+06 394.789 -2.62794
230 1284.33 1.06648e+06 394.731 -2.62671
240 1275.35 1.03752e+06 395.127 -2.63469
250 1475.44 939949 395.756 -2.64648
260 1551.69 886379 395.952 -2.64996
270 1356.26 981616 395.41 -2.64025
280 1277.08 1.09016e+06 394.75 -2.62712
290 1366.35 1.0669e+06 394.693 -2.62585
300 1358.5 1.00819e+06 395.093 -2.63377
310 1249.83 1.01346e+06 395.622 -2.64419
320 1359.4 903859 396.139 -2.65361
330 1376.81 932066 396.048 -2.65155
340 1410.93 992834 395.471 -2.64039
350 1433.55 1.03523e+06 394.827 -2.6275
360 1402.06 1.09159e+06 394.497 -2.62067
370 1389.94 1.04949e+06 394.767 -2.62627
380 1467.02 968378 395.388 -2.6387
390 1491 909384 395.775 -2.64608
400 1246.07 987591 395.586 -2.6429
410 1146.5 1.00351e+06 395.255 -2.63655
420 1232.57 1.03892e+06 394.989 -2.63094
430 1371.01 993995 394.949 -2.62952
440 1435.14 999098 394.916 -2.62826
450 1543.51 981288 394.853 -2.62669
460 1449.47 1.02618e+06 394.708 -2.6239
470 1340.22 1.05789e+06 394.756 -2.62512
480 1392.57 966326 395.14 -2.63282
490 1277.02 980160 395.357 -2.63698
500 1311.97 971329 395.399 -2.63772
510 1347.99 979047 395.252 -2.63472
520 1320.66 994248 394.942 -2.62851
530 1324.18 1.07115e+06 394.664 -2.6226
540 1535.67 1.00062e+06 394.807 -2.62507
550 1671.09 958194 394.973 -2.62833
560 1341.83 1.05039e+06 394.932 -2.62813
570 1185.44 1.03406e+06 395.196 -2.63398
580 1386.58 924780 395.633 -2.64245
590 1445.52 949443 395.616 -2.64211
600 1497.24 969110 395.21 -2.63471
610 1382.85 1.03016e+06 394.612 -2.62361
620 1180.84 1.1393e+06 394.304 -2.61759
630 1301.8 1.02217e+06 394.855 -2.6291
640 1292.29 943007 395.606 -2.6431
650 1223.59 942926 395.991 -2.64976
660 1486.77 894229 395.886 -2.64746
670 1468.38 991089 395.113 -2.63276
680 1437.31 1.08151e+06 394.287 -2.61592
690 1378.47 1.10837e+06 394.026 -2.61052
700 1243.47 1.08851e+06 394.569 -2.62228
710 1364.86 954949 395.662 -2.64367
720 1349.82 893512 396.472 -2.65816
730 1416.81 847628 396.47 -2.65809
740 1320.65 1.00531e+06 395.492 -2.64008
