# Time-averaged data for fix 4
# TimeStep c_mytemp c_mypress v_vmyvol v_avgEtotal
10 1086.38 1.13754e+06 393.044 -2.67784
20 1025.45 995364 394.546 -2.70855
30 1042.18 840907 395.951 -2.73423
40 1015.44 839290 395.858 -2.73283
50 1039.1 1.00278e+06 394.274 -2.70419
60 1111.16 1.17579e+06 392.763 -2.67281
70 1026.49 1.16163e+06 392.892 -2.67617
80 912.297 976303 394.492 -2.70944
90 911.973 853055 395.909 -2.73519
100 1033.7 817933 395.852 -2.73452
110 942.249 1.02898e+06 394.184 -2.70427
120 858.61 1.20792e+06 392.809 -2.67455
130 894.975 1.1373e+06 393.345 -2.68628
140 996.73 910846 395.113 -2.72078
150 975.929 830819 396.09 -2.7369
160 1018.09 877448 395.42 -2.72513
170 1081.78 1.07902e+06 393.681 -2.69168
180 1124.81 1.19537e+06 392.684 -2.66966
190 1010.03 1.10026e+06 393.51 -2.68806
200 1070.73 874755 395.196 -2.7207
210 940.736 865630 395.807 -2.73112
220 911.008 923906 395.071 -2.71819
230 940.25 1.08896e+06 393.698 -2.69144
240 1009.19 1.15031e+06 393.146 -2.67923
250 1058.53 1.04271e+06 393.983 -2.69668
260 1049.17 902084 395.209 -2.72004
270 1075.95 875200 395.525 -2.72566
280 1035.39 967438 394.666 -2.71032
290 882.75 1.13359e+06 393.583 -2.68869
300 944.128 1.09597e+06 393.667 -2.69041
310 1054.1 960533 394.652 -2.70984
320 998.326 919170 395.311 -2.72189
330 1010.58 906894 395.149 -2.71909
340 932.631 1.0426e+06 394.189 -2.70103
350 908.722 1.11656e+06 393.622 -2.68891
360 988.209 1.03979e+06 394.121 -2.69889
370 983.11 944923 394.996 -2.71562
380 982.412 902201 395.349 -2.72171
390 1090.07 939291 394.768 -2.71095
400 1070.13 1.07293e+06 393.67 -2.68961
410 967.514 1.15226e+06 393.312 -2.68203
420 1142.28 997547 394.258 -2.70161
430 1054.48 938785 395.275 -2.72106
440 918.167 910635 395.682 -2.72885
450 951.766 922640 395.19 -2.72039
460 904.982 1.08327e+06 394.08 -2.69876
470 951.94 1.10871e+06 393.706 -2.69056
480 1047.25 998054 394.313 -2.70259
490 1031.74 965680 394.982 -2.71518
500 1100.51 925218 395.271 -2.72063
510 1055.4 952790 394.864 -2.7134
520 958.562 1.07202e+06 394.067 -2.69802
530 952.586 1.11069e+06 393.965 -2.69611
540 1057.7 946841 394.766 -2.71219
550 855.638 957599 395.229 -2.72065
560 925.428 941963 395.177 -2.71961
570 1057.86 981999 394.621 -2.70886
580 1027.93 1.07383e+06 393.934 -2.69506
590 954.076 1.08428e+06 393.941 -2.69513
600 1074.59 963956 394.683 -2.70976
610 1037.38 940002 395.14 -2.71816
